668	1042
7	868
553	689
283	386
1271	1042
1042	1924
477	1194
1495	811
811	1495
1958	1041
661	1271
1271	1737
477	285
285	811
1916	100
1041	1042
1517	694
1517	662
662	1737
1737	359
1759	1229
1229	464
464	420
420	703
926	1042
1877	1503
1503	471
1031	283
1798	1742
67	1843
1843	1832
1271	527
214	400
400	214
214	1538
1538	214
214	964
1811	1042
1041	394
1042	669
1042	953
479	1224
413	1832
1832	952
477	668
668	423
743	1711
1711	894
471	1248
1042	951
951	1042
1041	1517
1271	1042
1684	241
241	81
81	1809
1041	1548
1041	1288
200	111
111	200
217	1142
1142	217
217	1142
1142	217
217	304
304	217
217	1756
1756	217
217	1756
1756	217
217	1142
1142	217
217	993
993	217
217	1142
1450	1517
121	1008
1008	121
121	1008
1042	1789
1041	309
1041	1042
1042	1812
1812	1041
1042	1517
900	1084
1084	667
667	900
900	813
1041	1517
1517	148
148	669
669	1042
1058	692
1042	1108
1108	1042
1041	1042
0	868
112	1363
1363	112
1041	1123
1123	1293
522	1042
1042	1271
1042	230
826	1704
1704	877
1809	148
414	1271
656	1383
1517	67
67	610
610	1042
638	1982
1982	638
1784	351
758	1690
1517	1042
1415	668
1002	1271
1517	23
626	169
169	626
626	1042
1042	626
137	1889
1517	836
836	1042
1202	1186
1363	1663
1663	182
804	1026
667	1388
1388	1228
81	1599
1599	398
398	1539
545	1774
415	1498
283	91
91	1041
806	81
1517	398
398	1563
1133	1041
1041	1113
811	1918
1918	567
1517	1041
1758	1784
1784	1492
1024	717
1041	1517
937	1690
1690	1911
1041	1517
1711	1042
1776	1117
1117	1245
1245	1117
1117	553
1102	1363
1041	1835
1835	1041
1041	272
466	987
987	436
436	987
1006	553
553	1042
1042	1524
1288	538
538	1789
1741	1243
942	1271
1042	1861
65	1218
1218	65
1042	215
1041	314
1517	708
1171	1517
1041	1042
1663	1042
911	553
1271	1450
1042	758
527	667
667	1271
1271	1449
1632	1042
1668	1465
1041	1042
694	984
984	382
1041	1042
1551	1260
1260	1551
723	543
543	723
1517	485
1517	1042
600	402
402	57
57	1218
1024	573
1041	1042
1042	1586
1185	1979
1462	1042
479	67
1829	2
1503	1042
1042	1517
1517	1041
462	1363
1041	629
1517	1021
1021	148
148	1539
1539	868
868	81
81	669
747	1535
1535	450
450	670
670	62
315	545
1042	545
1517	1782
850	1584
522	1199
1050	12
1852	1851
1267	263
263	1011
1041	196
496	369
369	496
496	1812
1812	496
496	451
694	817
817	1880
304	868
1271	1042
1517	1581
1812	916
916	995
1042	1041
1041	1517
1517	669
1041	647
1041	102
1042	743
1097	365
1517	1923
1923	1042
1042	1517
662	1041
1041	964
1711	900
1006	278
278	1006
1006	278
278	682
682	278
936	1984
1042	868
1042	1140
1517	1271
1271	1517
1517	743
1812	547
547	1812
583	631
631	1042
1097	1408
1363	1491
1923	315
365	448
1517	1041
810	1400
1517	1294
1271	1041
419	371
1042	324
1041	697
1041	1923
1923	1271
1271	667
315	1042
1042	1267
1042	1690
1041	1042
57	427
427	57
1041	1888
1888	1967
1967	48
81	1041
1041	1271
1271	1041
1041	669
669	1041
1041	1809
1809	148
148	1664
676	1517
1042	1960
1960	805
1041	1495
1495	1041
1272	1430
1024	1042
1260	57
1224	1042
398	1539
91	512
512	91
91	1793
1793	91
91	1793
1475	2
1323	363
363	1323
1517	1271
1351	1308
1308	1898
1898	1351
1351	1024
515	806
806	515
152	1102
1102	1138
1138	152
1042	1811
545	1970
315	1042
1042	253
253	747
747	616
616	868
868	51
1321	662
662	1321
1041	1866
1866	444
1517	1172
1172	309
1041	345
1042	382
382	394
995	669
1789	1852
66	1363
1363	1271
1330	1660
57	497
1517	1432
1432	1271
1041	51
367	32
1271	1923
1041	315
379	435
1517	1026
854	1924
1924	669
1041	522
1517	1852
1852	1517
1626	143
1450	1517
616	137
137	1273
1273	62
62	137
137	616
1042	545
22	646
646	22
22	1586
1224	969
969	1224
324	37
1041	868
868	1199
182	1638
1638	526
758	969
1517	1924
1924	1832
1967	382
382	1611
1611	971
868	88
125	527
1886	1990
1886	1990
1068	1229
545	51
315	1042
1042	398
398	1539
1539	148
148	1603
1603	81
81	868
553	1006
307	1584
1041	919
919	1271
1517	1584
1584	1042
1042	1584
67	553
553	964
1579	936
1673	422
422	1042
1155	1517
1517	367
1930	350
350	1930
20	1664
868	669
12	196
1517	361
398	1725
1866	479
678	868
1590	1447
1447	1590
1590	698
698	1486
1486	118
118	247
247	1590
1590	1447
1447	698
1363	1041
1041	216
1041	1569
1569	287
287	703
703	1661
1661	1569
